INDEX:10881:<int>,timestamp:10881:<long>,accel_lon:10881:<double>,accel_trans:10881:<double>,accel_down:10881:<double>,speed:10881:<double>
5475,1646666732851518,-2.246577,-0.2096782,-0.1786273,8.753479
5476,1646666732901517,-2.385974,0.2365412,0.2947332,8.869977
5477,1646666732951527,-2.185854,-0.1763556,-0.1299744,8.978292
5478,1646666733001578,-2.375125,-0.03807611,0.2935165,9.091866
5479,1646666733051565,-2.372869,0.1277248,-0.04894598,9.202102
5480,1646666733101533,-2.091822,0.004221501,0.207065,9.312262
5481,1646666733151581,-2.384455,0.3439978,0.3405181,9.427678
5482,1646666733201593,-2.245952,-0.06264143,-0.1956986,9.540746
5483,1646666733251561,-1.946073,0.08770086,0.1209693,9.650052
5484,1646666733301577,-2.091983,0.1886473,-0.02874717,9.754579
5485,1646666733351565,-1.973025,0.0832046,-0.2156123,9.85023
5486,1646666733401559,-1.967301,0.03932561,0.01959059,9.946632
5487,1646666733451868,-2.090987,-0.1324879,0.5008987,10.048
5488,1646666733501516,-2.008111,-0.003395024,-0.227009,10.14747
5489,1646666733551541,-2.155332,0.1652632,-0.1427191,10.25017
5490,1646666733601538,-2.072101,-0.2707435,0.2935192,10.34648
5491,1646666733651542,-1.948184,-0.3224461,0.05873679,10.44318
5492,1646666733701543,-2.035953,0.150967,0.4737368,10.54779
5493,1646666733751572,-2.207006,0.04544431,0.2564311,10.65501
5494,1646666733801594,-2.430591,0.03435589,0.3314305,10.77018
5495,1646666733851558,-2.937452,0.2347747,0.8149765,10.90077
5496,1646666733901563,-3.30639,-0.2132096,0.1957485,11.05008
5497,1646666733951526,-3.104586,-0.2728552,-0.1007816,11.21277
5498,1646666734001623,-3.477842,-0.07818014,0.2583515,11.384
5499,1646666734051552,-3.277149,-0.0280105,-0.1557121,11.54505
5500,1646666734101532,-3.21537,0.1605621,-0.328454,11.7011
5501,1646666734151644,-3.190389,0.1783715,-0.5574504,11.85429
5502,1646666734201641,-3.416747,0.007435568,-0.8479851,12.01197
5503,1646666734251576,-3.518299,0.0188762,-0.1909236,12.1749
5504,1646666734301590,-2.982472,-0.2453642,-0.1731303,12.33642
5505,1646666734351622,-3.152806,0.00590016,-0.2465748,12.50383
5506,1646666734401590,-3.457887,-0.02700257,-0.02729056,12.66929
5507,1646666734451847,-3.27416,-0.1814652,-0.2880306,12.82937
5508,1646666734501499,-3.525419,0.4592842,0.3707905,12.98891
5509,1646666734551575,-2.719974,-0.3253599,-0.4055019,13.1369
5510,1646666734601611,-2.822797,-0.09475744,0.1920377,13.27308
5511,1646666734651626,-3.07378,0.06585533,0.7146773,13.40613
5512,1646666734701566,-2.823693,0.3078104,-0.03568595,13.54744
5513,1646666734751582,-3.054105,-0.1786912,0.7572417,13.69686
5514,1646666734801613,-2.823025,-0.135796,0.7598869,13.8533
5515,1646666734851586,-2.766471,0.02974487,0.9108638,14.00411
5516,1646666734901574,-2.776866,-0.01002626,0.8684924,14.14445
5517,1646666734951586,-2.775439,-0.1163193,0.5779633,14.27829
5518,1646666735001699,-2.790107,-0.4395058,0.001359297,14.41018
5519,1646666735051598,-2.628238,-0.2400145,0.3818038,14.54175
5520,1646666735101595,-2.361878,-0.3875993,0.1227767,14.65917
5521,1646666735151628,-2.183235,-0.4965364,0.1205326,14.77439
5522,1646666735201652,-2.099789,0.1015517,0.4083498,14.89477
5523,1646666735251609,-2.588459,-0.1339466,0.8555954,15.01746
5524,1646666735301656,-2.246074,-0.1821407,0.3745513,15.13262
5525,1646666735351603,-1.686532,-0.04905379,-0.2885885,15.24185
5526,1646666735401595,-2.136247,0.4499436,0.9987505,15.35508
5527,1646666735451880,-2.192874,-0.4465742,0.7409263,15.46453
5528,1646666735501629,-2.44755,0.08207759,-0.3267959,15.57694
5529,1646666735551653,-2.103528,0.185814,0.1113942,15.69413
5530,1646666735601579,-2.981634,-0.04192129,1.574187,15.80402
5531,1646666735651579,-1.291793,-0.617601,0.1411131,15.91155
5532,1646666735701635,-2.147042,-0.2267841,0.0129044,16.02054
5533,1646666735751611,-2.096911,-0.2699472,-0.6510384,16.13558
5534,1646666735801720,-3.346215,-0.8448488,0.5557223,16.24188
5535,1646666735851672,-1.604216,-0.1426131,-1.585632,16.35533
5536,1646666735901703,-2.927374,-1.085676,0.8911635,16.47256
5537,1646666735951666,-2.862471,-0.7572991,0.02148769,16.59227
5538,1646666736001671,-1.608569,-0.1415177,-0.8688518,16.68056
5539,1646666736051620,-2.450626,0.8198115,-0.2229161,16.77891
5540,1646666736101608,-2.397401,0.3136134,0.3717992,16.88077
5541,1646666736151652,-2.041505,0.06926775,-0.1497953,16.98949
5542,1646666736201690,-2.355065,-0.04035931,-0.4796952,17.10241
5543,1646666736251659,-2.18399,-0.4432642,-0.2857899,17.20686
5544,1646666736301640,-1.883848,-0.1103506,-0.6892262,17.30887
5545,1646666736351607,-2.010459,0.004878363,-0.1036695,17.40945
5546,1646666736401643,-2.179801,-0.005403806,-0.3930574,17.51204
5547,1646666736451919,-2.09977,0.2140411,0.08069371,17.61495
5548,1646666736501573,-1.87911,-0.6775731,-0.03350358,17.71486
5549,1646666736551619,-1.475039,0.07784804,0.00420281,17.80617
5550,1646666736601615,-1.28196,0.2885877,0.222248,17.86955
5551,1646666736651620,-0.7667224,0.2768069,-0.06754728,17.91253
5552,1646666736701638,-0.793578,0.3913271,0.446866,17.94714
5553,1646666736751656,-0.9633052,0.02446221,0.09565394,17.99106
5554,1646666736801736,-1.302895,0.1071708,0.03343034,18.05099
5555,1646666736851656,-1.010945,-0.3703367,0.09513314,18.10976
5556,1646666736901693,-0.6234384,0.07819791,0.1249567,18.15473
5557,1646666736951650,-0.6669396,0.4730854,1.022674,18.19017
5558,1646666737001686,-0.9103286,-0.284785,0.2854382,18.23038
5559,1646666737051650,-0.8688517,-0.2245615,0.128949,18.26528
5560,1646666737101671,-0.5519285,-0.3636876,0.3235433,18.2925
5561,1646666737151719,-0.1284131,-0.2010458,0.09164178,18.30517
5562,1646666737201722,0.007983311,-0.09322032,0.2725939,18.31555
5563,1646666737251699,-0.05801254,-0.0501506,0.5761706,18.31026
